	Unnamed: 0	Model	Strategy	Instance	Acc	F1
466	466	DeBERTa-base	BADGE	120	0.338	0.177
467	467	BERT-base	CAL	120	0.333	0.167
468	468	RoBERTa-base	bertKM	120	0.387	0.270
469	469	BERT-large	CAL	120	0.333	0.167
470	470	DeBERTa-base	ALPS	120	0.333	0.167
471	471	RoBERTa-base	CAL	120	0.380	0.267
472	472	DeBERTa-large	CAL	120	0.336	0.171
473	473	BERT-base	bertKM	120	0.333	0.167
474	474	RoBERTa-base	CAL	120	0.347	0.201
475	475	DeBERTa-large	CAL	120	0.342	0.185
476	476	RoBERTa-large	CAL	120	0.336	0.171
477	477	BERT-large	CAL	120	0.356	0.220
478	478	BERT-large	CAL	120	0.360	0.230
479	479	BERT-large	CAL	120	0.338	0.176
480	480	DeBERTa-large	Density	120	0.333	0.167
481	481	BERT-large	CAL	120	0.333	0.167
482	482	RoBERTa-base	CAL	120	0.387	0.273
483	483	BERT-large	Entropy	120	0.336	0.172
484	484	DeBERTa-large	bertKM	120	0.349	0.198
485	485	BERT-base	ALPS	120	0.333	0.167
486	486	DeBERTa-base	Entropy	120	0.333	0.167
487	487	BERT-base	CAL	120	0.333	0.167
488	488	BERT-base	Density	120	0.333	0.167
489	489	BERT-base	CAL	120	0.333	0.167
490	490	BERT-large	Density	120	0.333	0.167
491	491	BERT-large	CAL	120	0.349	0.202
492	492	RoBERTa-large	CAL	120	0.364	0.235
493	493	RoBERTa-large	CAL	120	0.336	0.172
494	494	DeBERTa-base	CAL	120	0.333	0.167
495	495	RoBERTa-large	CAL	120	0.333	0.167
496	496	DeBERTa-base	bertKM	120	0.333	0.167
497	497	RoBERTa-base	CAL	120	0.369	0.244
498	498	RoBERTa-base	CAL	120	0.338	0.187
499	499	RoBERTa-base	CAL	120	0.373	0.247
500	500	RoBERTa-base	Density	120	0.333	0.167
501	501	DeBERTa-base	CAL	120	0.333	0.167
502	502	DeBERTa-base	CAL	120	0.333	0.167
503	503	DeBERTa-large	CAL	120	0.353	0.207
504	504	DeBERTa-base	CAL	120	0.333	0.167
505	505	BERT-large	BADGE	120	0.333	0.167
506	506	BERT-large	CAL	120	0.344	0.197
507	507	RoBERTa-base	ALPS	120	0.358	0.226
508	508	RoBERTa-large	Density	120	0.333	0.167
509	509	DeBERTa-base	CAL	120	0.333	0.167
510	510	DeBERTa-large	CAL	120	0.340	0.181
511	511	BERT-large	ALPS	120	0.333	0.167
512	512	DeBERTa-base	CAL	120	0.333	0.167
513	513	RoBERTa-large	Entropy	120	0.338	0.176
514	514	DeBERTa-large	BADGE	120	0.347	0.194
515	515	RoBERTa-base	CAL	120	0.344	0.194
516	516	RoBERTa-large	ALPS	120	0.336	0.173
517	517	RoBERTa-large	BADGE	120	0.338	0.176
518	518	RoBERTa-large	CAL	120	0.333	0.167
519	519	BERT-base	Entropy	120	0.333	0.167
520	520	BERT-base	CAL	120	0.333	0.167
521	521	BERT-base	BADGE	120	0.333	0.167
522	522	RoBERTa-large	CAL	120	0.342	0.186
