	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
402	402	DeBERTa-base	CAL	110	0.409	0.335	
403	403	DeBERTa-base	CAL	110	0.433	0.362	
404	404	DeBERTa-large	CAL	110	0.531	0.498	
405	405	BERT-large	ALPS	110	0.391	0.297	
406	406	BERT-base	BADGE	110	0.373	0.296	
407	407	BERT-base	CAL	110	0.344	0.245	
408	408	BERT-large	CAL	110	0.416	0.336	
409	409	BERT-base	CAL	110	0.351	0.280	
410	410	RoBERTa-base	CAL	110	0.438	0.410	
411	411	RoBERTa-base	ALPS	110	0.436	0.422	
412	412	RoBERTa-large	bertKM	110	0.451	0.366	
413	413	BERT-base	CAL	110	0.344	0.252	
414	414	RoBERTa-base	CAL	110	0.411	0.336	
415	415	BERT-base	ALPS	110	0.336	0.225	
416	416	RoBERTa-base	bertKM	110	0.367	0.272	
417	417	DeBERTa-large	CAL	110	0.444	0.382	
418	418	BERT-base	CAL	110	0.349	0.222	
419	419	DeBERTa-large	CAL	110	0.471	0.431	
420	420	BERT-base	Density	110	0.333	0.168	
421	421	BERT-base	bertKM	110	0.347	0.232	
422	422	RoBERTa-base	Density	110	0.331	0.202	
423	423	RoBERTa-base	CAL	110	0.440	0.359	
424	424	DeBERTa-base	bertKM	110	0.404	0.320	
425	425	BERT-base	CAL	110	0.327	0.173	
426	426	DeBERTa-large	CAL	110	0.413	0.328	
427	427	DeBERTa-base	CAL	110	0.364	0.243	
428	428	BERT-large	CAL	110	0.453	0.384	
429	429	DeBERTa-large	CAL	110	0.467	0.435	
430	430	RoBERTa-large	CAL	110	0.384	0.277	
431	431	RoBERTa-base	CAL	110	0.411	0.386	
432	432	DeBERTa-large	CAL	110	0.460	0.420	
433	433	DeBERTa-base	CAL	110	0.396	0.305	
434	434	RoBERTa-base	CAL	110	0.400	0.321	
435	435	BERT-large	CAL	110	0.376	0.282	
436	436	BERT-large	CAL	110	0.351	0.232	
437	437	RoBERTa-large	Entropy	110	0.469	0.430	
438	438	BERT-base	CAL	110	0.331	0.181	
439	439	BERT-base	CAL	110	0.367	0.277	
440	440	DeBERTa-large	Density	110	0.333	0.167	
441	441	DeBERTa-large	bertKM	110	0.511	0.483	
442	442	RoBERTa-base	CAL	110	0.396	0.319	
443	443	BERT-large	CAL	110	0.391	0.307	
444	444	RoBERTa-large	CAL	110	0.442	0.370	
445	445	BERT-large	bertKM	110	0.429	0.360	
446	446	BERT-large	Entropy	110	0.342	0.192	
447	447	DeBERTa-large	CAL	110	0.462	0.403	
448	448	RoBERTa-base	CAL	110	0.409	0.326	
449	449	RoBERTa-large	CAL	110	0.433	0.355	
450	450	DeBERTa-base	CAL	120	0.409	0.322	
451	451	DeBERTa-large	CAL	120	0.407	0.308	
452	452	DeBERTa-large	Entropy	120	0.427	0.346	
453	453	RoBERTa-large	CAL	120	0.511	0.511	
454	454	BERT-base	CAL	120	0.338	0.203	
455	455	RoBERTa-base	CAL	120	0.489	0.484	
456	456	DeBERTa-large	CAL	120	0.444	0.382	
457	457	DeBERTa-base	Density	120	0.331	0.169	
458	458	BERT-base	CAL	120	0.353	0.256	
459	459	DeBERTa-large	CAL	120	0.516	0.490	
460	460	DeBERTa-large	CAL	120	0.436	0.370	
461	461	DeBERTa-base	CAL	120	0.369	0.271	
462	462	BERT-large	CAL	120	0.429	0.368	
463	463	BERT-large	CAL	120	0.453	0.378	
464	464	BERT-large	bertKM	120	0.420	0.358	
465	465	BERT-base	CAL	120	0.344	0.220	
466	466	DeBERTa-base	BADGE	120	0.418	0.353	
467	467	BERT-base	CAL	120	0.369	0.268	
468	468	RoBERTa-base	bertKM	120	0.382	0.298	
469	469	BERT-large	CAL	120	0.376	0.277	
